"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","9","0","Successful booking update","0"
"0","","0","","3","0","Successful booking creation","0"
"0","","0","","3","0","Retrieve all booking IDs successfully","0"
"0","","0","","6","0","Successful booking deletion","0"
"0","","0","","3","0","Retrieve all payments and booking details successfully","0"
"0","","0","","7","0","","0"
"0","","0","","3","0","Unsuccessful booking deletion with unauthorized user","0"
"0","","0","","6","0","Retrieve booking details successfully","0"
"0","","0","","3","0","Undefined error while retrieving booking details","0"
"0","","0","","3","0","Unsuccessful booking update with invalid ID","0"
"0","","0","","3","0","User authentication fails with invalid credentials","0"
"0","","0","","3","0","Not found error while retrieving booking details","0"
"0","","0","","3","0","Successful user authentication","0"
"0","","0","","3","0","Unsuccessful booking update with SQLITE_CONSTRAINT error","0"
"0","","0","","3","0","Retrieve booking details with payments only successfully","0"
"0","","0","","3","0","Retrieve all booking details and payments successfully","0"
"0","","0","","6","0","Unsuccessful booking deletion with invalid ID","0"
