"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","Should insert valid booking to the local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Insert Booking Record @DB","db/booking/insertBooking.spec.ts","",""
"","16","Should create new booking correctly","webkit","2026-08-13","passed","2026-08-13","test POST responses for bookings @API","api/postBooking.spec.ts","",""
"","14","Should get all booking ids","firefox","2026-08-13","passed","2026-08-13","test GET responses @API","api/getBookingIds.spec.ts","",""
"","3","Should DELETE existing booking from local SQLite","webkit","2026-08-13","passed","2026-08-13","Test Delete Booking Record @DB","db/booking/deleteBooking.spec.ts","",""
"","7","Should SELECT existing payments and bookings from local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Select Booking Records with Payments @DB","db/booking/getBookingsWithPayments.spec.ts","",""
"","61","Should create a booking via API and store a copy in local SQLite","webkit","2026-08-13","passed","2026-08-13","API + SQLite Tests","api_sqlite_booking.spec.ts","",""
"","19","Should throw an error if user is not authorized","firefox","2026-08-13","passed","2026-08-13","test DELETE responses for bookings @API","api/deleteBooking.spec.ts","",""
"","7","Should UPDATE existing booking from local SQLite","webkit","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/updateBooking.spec.ts","",""
"","14","Should get particular booking ID","chromium","2026-08-13","passed","2026-08-13","test GET responses for bookings @API","api/getBooking.spec.ts","",""
"","1","Should SELECT non-existing booking from local SQLite","chromium","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/getBooking.spec.ts","",""
"","30","Should update particular booking ID","webkit","2026-08-13","passed","2026-08-13","test PUT responses for bookings @API","api/updateBooking.spec.ts","",""
"","1","Should SELECT non-existing booking from local SQLite","firefox","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/getBooking.spec.ts","",""
"","1","Should UPDATE not existing booking from local SQLite","chromium","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/updateBooking.spec.ts","",""
"","1","Should SELECT non-existing booking from local SQLite","webkit","2026-08-13","passed","2026-08-13","Test Select Booking Record @DB","db/booking/getBooking.spec.ts","",""
"","20","Should throw an error if user is not authorized","chromium","2026-08-13","passed","2026-08-13","test DELETE responses for bookings @API","api/deleteBooking.spec.ts","",""
"","12","Should show error message","firefox","2026-08-13","passed","2026-08-13","test login responses for bookings @API","api/login.spec.ts","",""
"","15","Should get all booking ids","chromium","2026-08-13","passed","2026-08-13","test GET responses @API","api/getBookingIds.spec.ts","",""
"","21","Should throw a not found error","firefox","2026-08-13","passed","2026-08-13","test GET responses for bookings @API","api/getBooking.spec.ts","",""
"","21","Should get token correctly","webkit","2026-08-13","passed","2026-08-13","test login responses for bookings @API","api/login.spec.ts","",""
